               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.099287,            0.040561,            0.037613,                   0,                   0,                   0,                   0,                   0,            0.021971,                   0,              0.0964,              0.0004,              0.0004
                   1,             0.08417,            0.038008,            0.032191,                   0,                   0,                   0,                   0,                   0,            0.020709,                   0,            0.091891,          0.00089109,          0.00089109
                   2,             0.10522,            0.038861,            0.040729,                   0,                   0,                   0,                   0,                   0,            0.019597,                   0,            0.087372,           0.0013723,           0.0013723
                   3,             0.09777,            0.044878,            0.038767,                   0,                   0,                   0,                   0,                   0,              0.0177,                   0,            0.082844,           0.0018436,           0.0018436
                   4,            0.069299,            0.040998,            0.031208,                   0,                   0,                   0,                   0,                   0,            0.016106,                   0,            0.078305,            0.002305,            0.002305
                   5,            0.073698,            0.040514,            0.034168,                   0,                   0,                   0,                   0,                   0,            0.015115,                   0,            0.073756,           0.0027564,           0.0027564
                   6,            0.069084,            0.042815,            0.029008,                   0,                   0,                   0,                   0,                   0,            0.013582,                   0,            0.069198,            0.003198,            0.003198
                   7,            0.065975,            0.041845,            0.028916,                   0,                   0,                   0,                   0,                   0,            0.012553,                   0,             0.06463,           0.0036297,           0.0036297
                   8,            0.065526,            0.045952,            0.027357,                   0,                   0,                   0,                   0,                   0,            0.011755,                   0,            0.060052,           0.0040515,           0.0040515
                   9,            0.070017,             0.04729,            0.033359,                   0,                   0,                   0,                   0,                   0,            0.010242,                   0,            0.055463,           0.0044634,           0.0044634
                  10,             0.06804,            0.042767,             0.02952,                   0,                   0,                   0,                   0,                   0,            0.009737,                   0,            0.050865,           0.0048654,           0.0048654
                  11,             0.06872,            0.044518,             0.03464,                   0,                   0,                   0,                   0,                   0,           0.0090204,                   0,            0.046257,           0.0052575,           0.0052575
                  12,             0.07581,            0.047932,            0.031334,                   0,                   0,                   0,                   0,                   0,           0.0092401,                   0,             0.04164,           0.0056397,           0.0056397
                  13,            0.057523,            0.035287,             0.02526,                   0,                   0,                   0,                   0,                   0,           0.0092401,                   0,            0.037012,            0.006012,            0.006012
                  14,             0.06149,            0.035768,            0.027847,                   0,                   0,                   0,                   0,                   0,           0.0094306,                   0,            0.032374,           0.0063744,           0.0063744
                  15,            0.057287,             0.03983,            0.027455,                   0,                   0,                   0,                   0,                   0,           0.0097927,                   0,            0.027727,           0.0067268,           0.0067268
                  16,            0.054498,            0.034266,            0.031883,                   0,                   0,                   0,                   0,                   0,            0.010618,                   0,            0.023069,           0.0070694,           0.0070694
                  17,            0.063013,            0.034174,            0.026327,                   0,                   0,                   0,                   0,                   0,            0.010618,                   0,            0.018402,           0.0074021,           0.0074021
                  18,            0.060681,            0.032914,            0.024696,                   0,                   0,                   0,                   0,                   0,            0.010799,                   0,            0.013725,           0.0077249,           0.0077249
                  19,            0.052404,            0.029247,            0.027542,                   0,                   0,                   0,                   0,                   0,           0.0093589,                   0,           0.0090378,           0.0080378,           0.0080378
                  20,            0.063329,            0.030214,            0.027587,                   0,                   0,                   0,                   0,                   0,           0.0093589,                   0,             0.00802,             0.00802,             0.00802
                  21,            0.066044,            0.031238,            0.030982,                   0,                   0,                   0,                   0,                   0,            0.007663,                   0,             0.00802,             0.00802,             0.00802
                  22,             0.06815,            0.034468,            0.028233,                   0,                   0,                   0,                   0,                   0,           0.0062048,                   0,            0.007921,            0.007921,            0.007921
                  23,             0.06681,             0.02481,            0.030682,                   0,                   0,                   0,                   0,                   0,           0.0062048,                   0,            0.007822,            0.007822,            0.007822
                  24,            0.061894,            0.027209,            0.021859,                   0,                   0,                   0,                   0,                   0,           0.0053016,                   0,            0.007723,            0.007723,            0.007723
                  25,            0.063772,            0.024989,            0.031104,                   0,                   0,                   0,                   0,                   0,           0.0053016,                   0,            0.007624,            0.007624,            0.007624
                  26,            0.058922,            0.027878,            0.023202,                   0,                   0,                   0,                   0,                   0,           0.0053586,                   0,            0.007525,            0.007525,            0.007525
                  27,            0.069002,            0.031452,            0.024398,                   0,                   0,                   0,                   0,                   0,           0.0053976,                   0,            0.007426,            0.007426,            0.007426
                  28,            0.064422,            0.030372,             0.02422,                   0,                   0,                   0,                   0,                   0,           0.0053976,                   0,            0.007327,            0.007327,            0.007327
                  29,            0.059866,            0.031478,            0.026913,                   0,                   0,                   0,                   0,                   0,           0.0052844,                   0,            0.007228,            0.007228,            0.007228
                  30,            0.063525,            0.028943,            0.028137,                   0,                   0,                   0,                   0,                   0,           0.0052156,                   0,            0.007129,            0.007129,            0.007129
                  31,            0.059813,            0.025982,            0.019855,                   0,                   0,                   0,                   0,                   0,           0.0052156,                   0,             0.00703,             0.00703,             0.00703
                  32,            0.060403,            0.024371,            0.022089,                   0,                   0,                   0,                   0,                   0,           0.0050125,                   0,            0.006931,            0.006931,            0.006931
                  33,            0.056307,             0.03244,            0.020785,                   0,                   0,                   0,                   0,                   0,           0.0050125,                   0,            0.006832,            0.006832,            0.006832
                  34,            0.057867,            0.028707,            0.024415,                   0,                   0,                   0,                   0,                   0,           0.0050323,                   0,            0.006733,            0.006733,            0.006733
                  35,            0.055223,            0.026289,            0.024343,                   0,                   0,                   0,                   0,                   0,           0.0052499,                   0,            0.006634,            0.006634,            0.006634
                  36,            0.053845,            0.026783,            0.023155,                   0,                   0,                   0,                   0,                   0,           0.0052499,                   0,            0.006535,            0.006535,            0.006535
                  37,            0.058902,            0.027402,            0.021482,                   0,                   0,                   0,                   0,                   0,            0.004873,                   0,            0.006436,            0.006436,            0.006436
                  38,            0.060695,            0.028975,            0.021173,                   0,                   0,                   0,                   0,                   0,           0.0041839,                   0,            0.006337,            0.006337,            0.006337
