               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  42,            0.059543,            0.030122,            0.017678,                   0,                   0,                   0,                   0,                   0,            0.005612,                   0,            0.008647,            0.008647,            0.008647
                  43,             0.05229,            0.025625,            0.017382,                   0,                   0,                   0,                   0,                   0,           0.0049532,                   0,            0.008614,            0.008614,            0.008614
                  44,            0.057815,            0.022693,            0.015119,                   0,                   0,                   0,                   0,                   0,           0.0049532,                   0,            0.008581,            0.008581,            0.008581
                  45,            0.058645,            0.026858,            0.016862,                   0,                   0,                   0,                   0,                   0,           0.0052199,                   0,            0.008548,            0.008548,            0.008548
                  46,            0.052537,            0.025579,            0.023878,                   0,                   0,                   0,                   0,                   0,            0.004894,                   0,            0.008515,            0.008515,            0.008515
                  47,            0.047585,            0.022067,            0.017095,                   0,                   0,                   0,                   0,                   0,           0.0053158,                   0,            0.008482,            0.008482,            0.008482
                  48,            0.060753,            0.024599,            0.020366,                   0,                   0,                   0,                   0,                   0,           0.0053158,                   0,            0.008449,            0.008449,            0.008449
                  49,            0.062671,            0.022632,            0.020101,                   0,                   0,                   0,                   0,                   0,           0.0050453,                   0,            0.008416,            0.008416,            0.008416
                  50,            0.053489,            0.021424,            0.017354,                   0,                   0,                   0,                   0,                   0,           0.0049285,                   0,            0.008383,            0.008383,            0.008383
                  51,            0.057108,            0.028984,            0.020381,                   0,                   0,                   0,                   0,                   0,           0.0045514,                   0,             0.00835,             0.00835,             0.00835
                  52,            0.052351,            0.021713,            0.015184,                   0,                   0,                   0,                   0,                   0,           0.0045514,                   0,            0.008317,            0.008317,            0.008317
                  53,            0.046753,            0.020797,            0.014081,                   0,                   0,                   0,                   0,                   0,           0.0044285,                   0,            0.008284,            0.008284,            0.008284
                  54,            0.048183,            0.021199,            0.014677,                   0,                   0,                   0,                   0,                   0,           0.0043025,                   0,            0.008251,            0.008251,            0.008251
                  55,            0.053552,            0.027295,            0.013759,                   0,                   0,                   0,                   0,                   0,           0.0039105,                   0,            0.008218,            0.008218,            0.008218
                  56,            0.045695,            0.019909,            0.014858,                   0,                   0,                   0,                   0,                   0,           0.0039105,                   0,            0.008185,            0.008185,            0.008185
                  57,            0.055927,            0.023493,            0.018996,                   0,                   0,                   0,                   0,                   0,           0.0035502,                   0,            0.008152,            0.008152,            0.008152
                  58,            0.052447,            0.022885,            0.018137,                   0,                   0,                   0,                   0,                   0,           0.0034817,                   0,            0.008119,            0.008119,            0.008119
                  59,            0.042448,            0.021011,            0.014699,                   0,                   0,                   0,                   0,                   0,           0.0039884,                   0,            0.008086,            0.008086,            0.008086
                  60,            0.047665,            0.022105,            0.021385,                   0,                   0,                   0,                   0,                   0,           0.0039884,                   0,            0.008053,            0.008053,            0.008053
                  61,            0.041133,            0.020317,            0.011541,                   0,                   0,                   0,                   0,                   0,            0.004435,                   0,             0.00802,             0.00802,             0.00802
                  62,             0.04988,            0.024789,            0.021896,                   0,                   0,                   0,                   0,                   0,           0.0050093,                   0,            0.007987,            0.007987,            0.007987
                  63,            0.051429,             0.02287,            0.015314,                   0,                   0,                   0,                   0,                   0,           0.0049108,                   0,            0.007954,            0.007954,            0.007954
                  64,            0.048423,            0.019542,            0.014205,                   0,                   0,                   0,                   0,                   0,           0.0049108,                   0,            0.007921,            0.007921,            0.007921
                  65,            0.049678,            0.025598,            0.011987,                   0,                   0,                   0,                   0,                   0,            0.004954,                   0,            0.007888,            0.007888,            0.007888
                  66,              0.0553,            0.022961,            0.014463,                   0,                   0,                   0,                   0,                   0,           0.0051689,                   0,            0.007855,            0.007855,            0.007855
                  67,             0.05047,            0.027471,            0.015105,                   0,                   0,                   0,                   0,                   0,           0.0043387,                   0,            0.007822,            0.007822,            0.007822
